Month,Day,Year,Hour,UCDdemand_kW
1,25,2023,5,21283
1,25,2023,6,25328
1,25,2023,7,28779
1,25,2023,8,29725
1,25,2023,9,29972
1,25,2023,10,30445
1,25,2023,11,30273
1,25,2023,12,30303
1,25,2023,13,29910
1,25,2023,14,30107
1,25,2023,15,29429
1,25,2023,16,28059
1,25,2023,17,27488
1,25,2023,18,25670
1,25,2023,19,22918
1,25,2023,20,22806
1,25,2023,21,22166
1,25,2023,22,20662
1,25,2023,23,20007
1,26,2023,0,19255
1,26,2023,1,18856
1,26,2023,2,18360
1,26,2023,3,18568
1,26,2023,4,18984
1,26,2023,5,20104
1,26,2023,6,22456
1,26,2023,7,24031
1,26,2023,8,25023
1,26,2023,9,25578
1,26,2023,10,26038
1,26,2023,11,26070
1,26,2023,12,25879
1,26,2023,13,25937
1,26,2023,14,25802
1,26,2023,15,25598
1,26,2023,16,24563
1,26,2023,17,24266
1,26,2023,18,23958
1,26,2023,19,22837
1,26,2023,20,22389
1,26,2023,21,21524
1,26,2023,22,20437
1,26,2023,23,20245
1,27,2023,0,19542
1,27,2023,1,19031
1,27,2023,2,18744
1,27,2023,3,18678
1,27,2023,4,19095
1,27,2023,5,20582
1,27,2023,6,22229
1,27,2023,7,24014
1,27,2023,8,25642
1,27,2023,9,29237
1,27,2023,10,29964
1,27,2023,11,29501
1,27,2023,12,29208
1,27,2023,13,28944
1,27,2023,14,28641
1,27,2023,15,27458
1,27,2023,16,24263
1,27,2023,17,23875
1,27,2023,18,23399
1,27,2023,19,22326
1,27,2023,20,21382
1,27,2023,21,21206
1,27,2023,22,20086
1,27,2023,23,19430
1,28,2023,0,18983
1,28,2023,1,18600
1,28,2023,2,18328
1,28,2023,3,18454
1,28,2023,4,18695
1,28,2023,5,19479
1,28,2023,6,20084
1,28,2023,7,20735
1,28,2023,8,20337
1,28,2023,9,20383
1,28,2023,10,20553
1,28,2023,11,20485
1,28,2023,12,20574
1,28,2023,13,20699
1,28,2023,14,20604
1,28,2023,15,20697
1,28,2023,16,20614
1,28,2023,17,21341
1,28,2023,18,20651
1,28,2023,19,21183
1,28,2023,20,20565
1,28,2023,21,19749
1,28,2023,22,19045
1,28,2023,23,18260
1,29,2023,0,19001
1,29,2023,1,18504
1,29,2023,2,18376
1,29,2023,3,17994
1,29,2023,4,19170
1,29,2023,5,18294
1,29,2023,6,20083
1,29,2023,7,20190
1,29,2023,8,20507
1,29,2023,9,20849
1,29,2023,10,21029
1,29,2023,11,20887
1,29,2023,12,21353
1,29,2023,13,21664
1,29,2023,14,22116
1,29,2023,15,21802
1,29,2023,16,20913
1,29,2023,17,22520
1,29,2023,18,21395
1,29,2023,19,21966
1,29,2023,20,20941
1,29,2023,21,20950
1,29,2023,22,20472
1,29,2023,23,22568
1,30,2023,0,23384
1,30,2023,1,23288
1,30,2023,2,23000
1,30,2023,3,22283
1,30,2023,4,23403
1,30,2023,5,24460
1,30,2023,6,25787
1,30,2023,7,27436
1,30,2023,8,28331
1,30,2023,9,26534
1,30,2023,10,26020
1,30,2023,11,25928
1,30,2023,12,25578
1,30,2023,13,25749
1,30,2023,14,25338
1,30,2023,15,25216
1,30,2023,16,24452
1,30,2023,17,24522
1,30,2023,18,24248
1,30,2023,19,23384
1,30,2023,20,22664
1,30,2023,21,21896
1,30,2023,22,20984
1,30,2023,23,20440
1,31,2023,0,19928
1,31,2023,1,19576
1,31,2023,2,19304
1,31,2023,3,19423
1,31,2023,4,19696
1,31,2023,5,20914
1,31,2023,6,22401
1,31,2023,7,24727
1,31,2023,8,25864
1,31,2023,9,26355
1,31,2023,10,25903
1,31,2023,11,25554
1,31,2023,12,25717
1,31,2023,13,25891
1,31,2023,14,25889
1,31,2023,15,25448
1,31,2023,16,24493
1,31,2023,17,24272
1,31,2023,18,24166
1,31,2023,19,23189
1,31,2023,20,22773
1,31,2023,21,21829
1,31,2023,22,21013
1,31,2023,23,20390
2,1,2023,0,19688
2,1,2023,1,19368
2,1,2023,2,19128
2,1,2023,3,19330
2,1,2023,4,20002
2,1,2023,5,21458
2,1,2023,6,22754
2,1,2023,7,24847
2,1,2023,8,25699
2,1,2023,9,28417
2,1,2023,10,30348
2,1,2023,11,30402
2,1,2023,12,29740
2,1,2023,13,29482
2,1,2023,14,29455
2,1,2023,15,28649
2,1,2023,16,27751
2,1,2023,17,27828
2,1,2023,18,27686
2,1,2023,19,24934
2,1,2023,20,23670
2,1,2023,21,22086
2,1,2023,22,20726
2,1,2023,23,20278
2,2,2023,0,19752
2,2,2023,1,19752
