Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity to grid (kW),Lifetime Hourly Data: Electricity to grid (kW)
1087.5,311.283,311.283
1088.5,17511.1,17511.1
1089.5,30764.8,30764.8
1090.5,10316.8,10316.8
1091.5,19833.6,19833.6
1092.5,18226.2,18226.2
1093.5,27938.7,27938.7
1094.5,28242.5,28242.5
1095.5,9522.53,9522.53
1096.5,12996.9,12996.9
1097.5,267.717,267.717
1098.5,0,0
1099.5,0,0
1100.5,0,0
1101.5,0,0
1102.5,0,0
1103.5,0,0
1104.5,0,0
1105.5,0,0
1106.5,0,0
1107.5,0,0
1108.5,0,0
1109.5,0,0
1110.5,0,0
1111.5,7209.51,7209.51
1112.5,30642.6,30642.6
1113.5,35507.7,35507.7
1114.5,23667.2,23667.2
1115.5,17851.2,17851.2
1116.5,20786.8,20786.8
1117.5,27279,27279
1118.5,27788.4,27788.4
1119.5,35009.5,35009.5
1120.5,28585.7,28585.7
1121.5,4911.53,4911.53
1122.5,0,0
1123.5,0,0
1124.5,0,0
1125.5,0,0
1126.5,0,0
1127.5,0,0
1128.5,0,0
1129.5,0,0
1130.5,0,0
1131.5,0,0
1132.5,0,0
1133.5,0,0
1134.5,0,0
1135.5,13715.6,13715.6
1136.5,24803.8,24803.8
1137.5,36291.4,36291.4
1138.5,35356.1,35356.1
1139.5,33199,33199
1140.5,32252.9,32252.9
1141.5,33518.9,33518.9
1142.5,35585.9,35585.9
1143.5,34495.6,34495.6
1144.5,27621.7,27621.7
1145.5,5042.84,5042.84
1146.5,0,0
1147.5,0,0
1148.5,0,0
1149.5,0,0
1150.5,0,0
1151.5,0,0
1152.5,0,0
1153.5,0,0
1154.5,0,0
1155.5,0,0
1156.5,0,0
1157.5,0,0
1158.5,0,0
1159.5,20881.5,20881.5
1160.5,34680.6,34680.6
1161.5,38210.1,38210.1
1162.5,36929.9,36929.9
1163.5,34417.7,34417.7
1164.5,33469.5,33469.5
1165.5,34851.8,34851.8
1166.5,36916.5,36916.5
1167.5,36486.2,36486.2
1168.5,29589.9,29589.9
1169.5,6616.77,6616.77
1170.5,0,0
1171.5,0,0
1172.5,0,0
1173.5,0,0
1174.5,0,0
1175.5,0,0
1176.5,0,0
1177.5,0,0
1178.5,0,0
1179.5,0,0
1180.5,0,0
1181.5,0,0
1182.5,0,0
1183.5,19767,19767
1184.5,33879.5,33879.5
1185.5,37798.3,37798.3
1186.5,36389.2,36389.2
1187.5,34242.2,34242.2
1188.5,33230,33230
1189.5,34091,34091
1190.5,35794.8,35794.8
1191.5,31700.2,31700.2
1192.5,27309.2,27309.2
1193.5,3253.13,3253.13
1194.5,0,0
1195.5,0,0
1196.5,0,0
1197.5,0,0
1198.5,0,0
1199.5,0,0
1200.5,0,0
1201.5,0,0
1202.5,0,0
1203.5,0,0
1204.5,0,0
1205.5,0,0
1206.5,0,0
1207.5,1986.15,1986.15
1208.5,21335.1,21335.1
1209.5,35638.9,35638.9
1210.5,23860.8,23860.8
1211.5,33436.5,33436.5
1212.5,32803.8,32803.8
1213.5,34086.6,34086.6
1214.5,35844,35844
1215.5,35373.3,35373.3
1216.5,28044.3,28044.3
1217.5,1513.38,1513.38
1218.5,0,0
1219.5,0,0
1220.5,0,0
1221.5,0,0
1222.5,0,0
1223.5,0,0
1224.5,0,0
1225.5,0,0
1226.5,0,0
1227.5,0,0
1228.5,0,0
1229.5,0,0
1230.5,0,0
1231.5,20677.3,20677.3
1232.5,34576.5,34576.5
1233.5,38253.1,38253.1
1234.5,37208.3,37208.3
1235.5,35113,35113
1236.5,34234.2,34234.2
1237.5,35480.7,35480.7
1238.5,37513.1,37513.1
1239.5,37351,37351
1240.5,31305,31305
1241.5,8628.58,8628.58
1242.5,0,0
1243.5,0,0
1244.5,0,0
1245.5,0,0
1246.5,0,0
1247.5,0,0
1248.5,0,0
1249.5,0,0
1250.5,0,0
1251.5,0,0
1252.5,0,0
1253.5,0,0
1254.5,0,0
