Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: System power generated (kW)
364.5,-1.90284,-1.90284,-1.90284
365.5,-1.90284,-1.90284,-1.90284
366.5,-1.90284,-1.90284,-1.90284
367.5,-1.90284,-1.90284,-1.90284
368.5,0,0,1530.04
369.5,0,0,6179.53
370.5,0,0,11336.4
371.5,0,0,2498.75
372.5,0,0,4105.53
373.5,0,0,2421.34
374.5,0,0,917.587
375.5,0,0,1302.07
376.5,0,0,345.75
377.5,-1.90284,-1.90284,-1.90284
378.5,-1.90284,-1.90284,-1.90284
379.5,-1.90284,-1.90284,-1.90284
380.5,-1.90284,-1.90284,-1.90284
381.5,-1.90284,-1.90284,-1.90284
382.5,-1.90284,-1.90284,-1.90284
383.5,-1.90284,-1.90284,-1.90284
384.5,-1.90284,-1.90284,-1.90284
385.5,-1.90284,-1.90284,-1.90284
386.5,-1.90284,-1.90284,-1.90284
387.5,-1.90284,-1.90284,-1.90284
388.5,-1.90284,-1.90284,-1.90284
389.5,-1.90284,-1.90284,-1.90284
390.5,-1.90284,-1.90284,-1.90284
391.5,0,0,23.3146
392.5,0,0,6609.42
393.5,0,0,49265.3
394.5,0,0,37909.9
395.5,0,0,28714.7
396.5,0,0,21474.4
397.5,0,0,25557.3
398.5,0,0,33799.3
399.5,0,0,16356.3
400.5,0,0,2627.48
401.5,-1.90284,-1.90284,-1.90284
402.5,-1.90284,-1.90284,-1.90284
403.5,-1.90284,-1.90284,-1.90284
404.5,-1.90284,-1.90284,-1.90284
405.5,-1.90284,-1.90284,-1.90284
406.5,-1.90284,-1.90284,-1.90284
407.5,-1.90284,-1.90284,-1.90284
408.5,-1.90284,-1.90284,-1.90284
409.5,-1.90284,-1.90284,-1.90284
410.5,-1.90284,-1.90284,-1.90284
411.5,-1.90284,-1.90284,-1.90284
412.5,-1.90284,-1.90284,-1.90284
413.5,-1.90284,-1.90284,-1.90284
414.5,-1.90284,-1.90284,-1.90284
415.5,-1.90284,-1.90284,-1.90284
416.5,0,0,4591.55
417.5,0,0,24923.5
418.5,0,0,28660.8
419.5,0,0,24726.7
420.5,0,0,23902.8
421.5,0,0,20761.6
422.5,0,0,24531.6
423.5,0,0,6778.9
424.5,0,0,3664.22
425.5,-1.90284,-1.90284,-1.90284
426.5,-1.90284,-1.90284,-1.90284
427.5,-1.90284,-1.90284,-1.90284
428.5,-1.90284,-1.90284,-1.90284
429.5,-1.90284,-1.90284,-1.90284
430.5,-1.90284,-1.90284,-1.90284
431.5,-1.90284,-1.90284,-1.90284
432.5,-1.90284,-1.90284,-1.90284
433.5,-1.90284,-1.90284,-1.90284
434.5,-1.90284,-1.90284,-1.90284
435.5,-1.90284,-1.90284,-1.90284
436.5,-1.90284,-1.90284,-1.90284
437.5,-1.90284,-1.90284,-1.90284
438.5,-1.90284,-1.90284,-1.90284
439.5,0,0,71.9366
440.5,0,0,12590.2
441.5,0,0,33206.1
442.5,0,0,31118.5
443.5,0,0,35113.9
444.5,0,0,39959.5
445.5,0,0,48154.4
446.5,0,0,47634.5
447.5,0,0,33964.9
448.5,0,0,8720.48
449.5,-1.90284,-1.90284,-1.90284
450.5,-1.90284,-1.90284,-1.90284
451.5,-1.90284,-1.90284,-1.90284
452.5,-1.90284,-1.90284,-1.90284
453.5,-1.90284,-1.90284,-1.90284
454.5,-1.90284,-1.90284,-1.90284
455.5,-1.90284,-1.90284,-1.90284
456.5,-1.90284,-1.90284,-1.90284
457.5,-1.90284,-1.90284,-1.90284
458.5,-1.90284,-1.90284,-1.90284
459.5,-1.90284,-1.90284,-1.90284
460.5,-1.90284,-1.90284,-1.90284
461.5,-1.90284,-1.90284,-1.90284
462.5,-1.90284,-1.90284,-1.90284
463.5,-1.90284,-1.90284,-1.90284
464.5,0,0,1825.99
465.5,0,0,14600.3
466.5,0,0,22185.6
467.5,0,0,16876.9
468.5,0,0,26461.9
469.5,0,0,50561.2
470.5,0,0,53090.1
471.5,0,0,21500.2
472.5,0,0,2808.09
473.5,-1.90284,-1.90284,-1.90284
474.5,-1.90284,-1.90284,-1.90284
475.5,-1.90284,-1.90284,-1.90284
476.5,-1.90284,-1.90284,-1.90284
477.5,-1.90284,-1.90284,-1.90284
478.5,-1.90284,-1.90284,-1.90284
479.5,-1.90284,-1.90284,-1.90284
480.5,-1.90284,-1.90284,-1.90284
481.5,-1.90284,-1.90284,-1.90284
482.5,-1.90284,-1.90284,-1.90284
483.5,-1.90284,-1.90284,-1.90284
484.5,-1.90284,-1.90284,-1.90284
485.5,-1.90284,-1.90284,-1.90284
486.5,-1.90284,-1.90284,-1.90284
487.5,0,0,6549.78
488.5,0,0,47850.3
489.5,0,0,58240
490.5,0,0,56862.9
491.5,0,0,51901.8
492.5,0,0,50009.5
493.5,0,0,53573.7
494.5,0,0,57786.8
495.5,0,0,55324.3
496.5,0,0,37383.4
497.5,-1.90284,-1.90284,-1.90284
498.5,-1.90284,-1.90284,-1.90284
499.5,-1.90284,-1.90284,-1.90284
500.5,-1.90284,-1.90284,-1.90284
501.5,-1.90284,-1.90284,-1.90284
502.5,-1.90284,-1.90284,-1.90284
503.5,-1.90284,-1.90284,-1.90284
504.5,-1.90284,-1.90284,-1.90284
505.5,-1.90284,-1.90284,-1.90284
506.5,-1.90284,-1.90284,-1.90284
507.5,-1.90284,-1.90284,-1.90284
508.5,-1.90284,-1.90284,-1.90284
509.5,-1.90284,-1.90284,-1.90284
510.5,-1.90284,-1.90284,-1.90284
511.5,0,0,7337.8
512.5,0,0,20611
513.5,0,0,51569.2
514.5,0,0,57201.7
515.5,0,0,47006.5
516.5,0,0,50987.8
517.5,0,0,51631
518.5,0,0,57049.5
519.5,0,0,54409.3
520.5,0,0,32383.5
521.5,-1.90284,-1.90284,-1.90284
522.5,-1.90284,-1.90284,-1.90284
523.5,-1.90284,-1.90284,-1.90284
524.5,-1.90284,-1.90284,-1.90284
525.5,-1.90284,-1.90284,-1.90284
526.5,-1.90284,-1.90284,-1.90284
527.5,-1.90284,-1.90284,-1.90284
528.5,-1.90284,-1.90284,-1.90284
529.5,-1.90284,-1.90284,-1.90284
530.5,-1.90284,-1.90284,-1.90284
531.5,-1.90284,-1.90284,-1.90284
532.5,-1.90284,-1.90284,-1.90284
533.5,-1.90284,-1.90284,-1.90284
534.5,-1.90284,-1.90284,-1.90284
535.5,0,0,6410.77
536.5,0,0,47539.5
537.5,0,0,58338.1
538.5,0,0,57051
539.5,0,0,52461.9
540.5,0,0,50332
541.5,0,0,53456.3
542.5,0,0,57004.7
543.5,0,0,53173.6
544.5,0,0,35372.7
545.5,-1.90284,-1.90284,-1.90284
546.5,-1.90284,-1.90284,-1.90284
547.5,-1.90284,-1.90284,-1.90284
548.5,-1.90284,-1.90284,-1.90284
549.5,-1.90284,-1.90284,-1.90284
550.5,-1.90284,-1.90284,-1.90284
551.5,-1.90284,-1.90284,-1.90284
552.5,-1.90284,-1.90284,-1.90284
553.5,-1.90284,-1.90284,-1.90284
554.5,-1.90284,-1.90284,-1.90284
555.5,-1.90284,-1.90284,-1.90284
556.5,-1.90284,-1.90284,-1.90284
557.5,-1.90284,-1.90284,-1.90284
558.5,-1.90284,-1.90284,-1.90284
559.5,0,0,7188.25
560.5,0,0,50383.2
561.5,0,0,60883.7
562.5,0,0,59017.3
563.5,0,0,53904.8
564.5,0,0,51763.3
565.5,0,0,54905.9
566.5,0,0,58975.7
567.5,0,0,56721.3
568.5,0,0,39700.4
569.5,-1.90284,-1.90284,-1.90284
570.5,-1.90284,-1.90284,-1.90284
571.5,-1.90284,-1.90284,-1.90284
572.5,-1.90284,-1.90284,-1.90284
573.5,-1.90284,-1.90284,-1.90284
574.5,-1.90284,-1.90284,-1.90284
575.5,-1.90284,-1.90284,-1.90284
576.5,-1.90284,-1.90284,-1.90284
577.5,-1.90284,-1.90284,-1.90284
578.5,-1.90284,-1.90284,-1.90284
579.5,-1.90284,-1.90284,-1.90284
580.5,-1.90284,-1.90284,-1.90284
581.5,-1.90284,-1.90284,-1.90284
582.5,-1.90284,-1.90284,-1.90284
583.5,0,0,4716.09
584.5,0,0,51920.1
585.5,0,0,61594.9
